lr,model_name,downstream,num_heads,num_layers,optimizer,loss,gamma,alpha,seed,warmup_steps,max_steps,clip_large_grad,mode,finetune_elmo,max_dev,mean_dev,max_train,step_trained
0.0001,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.1,7,500,2000,True,res14,True,50.21,42.61,100.0,2000
0.0005,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.2,7,500,2000,True,res14,True,48.39,42.67,99.54,1100
0.0005,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.15,7,500,2000,True,res14,True,51.58,47.12,100.0,2000
0.0005,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.2,7,500,2500,True,res14,True,49.84,44.27,99.24,1200
0.0005,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.15,7,500,2500,True,res14,True,48.98,44.27,100.0,2500
0.0005,elmo,crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.15,7,500,2500,False,res14,True,47.7,43.46,100.0,2300
0.0005,elmo,lstm-crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.1,7,500,2500,True,res14,False,58.94,53.54,100.0,2500
0.0001,elmo,lstm-crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.1,7,500,3500,True,res14,False,54.15,46.31,100.0,3100
0.0005,elmo,san,8,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.1,7,500,3000,True,res14,False,49.74,40.32,62.35,3000
0.0005,elmo,san,8,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res14,False,48.5,42.24,68.68,3000
0.0001,elmo,san,8,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res14,False,39.41,32.85,44.99,3000
0.0005,elmo,san,8,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.5,7,500,3000,True,res14,False,48.51,41.59,68.84,3000
0.001,elmo,san,8,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.5,7,500,3000,True,res14,False,49.46,42.86,75.55,3000
0.001,elmo,san,16,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.1,7,500,3000,True,res14,False,49.64,42.54,71.02,3000
5e-05,elmo,san,8,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res14,False,31.6,26.71,39.4,3000
0.0005,elmo,san,128,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res14,False,48.69,40.91,66.92,2500
5e-05,elmo,san,4,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res14,False,27.73,20.4,27.5,1100
0.0005,elmo,san,8,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.3,7,500,3000,True,res14,False,50.1,41.42,66.64,3000
0.0005,elmo,san,8,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.9,7,500,3500,True,res14,False,48.75,43.08,71.06,3500
0.001,elmo,linear,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,6,500,3000,True,res14,False,44.48,38.29,73.11,3000
0.0005,elmo,lstm-crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,2000,True,res14,True,53.98,48.96,100.0,2000
0.0005,elmo,lstm-crf,12,1,<class 'transformers.optimization.AdamW'>,CE,2.0,0.75,7,500,2000,True,res14,False,59.1,52.31,100.0,2000
5e-05,elmo,lstm-crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,2000,True,res14,False,48.27,36.66,74.14,2000
0.001,elmo,lstm-crf,12,1,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,3000,True,res14,False,57.55,52.93,100.0,2100
0.0001,elmo,lstm-crf,12,2,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,2000,True,res14,False,59.91,45.67,98.63,2000
0.0005,elmo,lstm-crf,12,2,<class 'transformers.optimization.AdamW'>,focal,2.0,0.75,7,500,2000,True,res14,False,60.09,51.77,100.0,2000
